! Species         Shape    LJ-depth  LJ-diam   DiplMom   Polzblty  RotRelaxNum Data     
! Name            Index    epsilon/k_B sigma     mu        alpha     Zrot      Source   
CO3(39)             2     429.382     4.791     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=557.64 K, Pc=73.68 bar (from Joback method)
C2HO4(40)           2     480.018     5.180     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=623.40 K, Pc=65.14 bar (from Joback method)
C2HO4(41)           2     440.339     5.187     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=571.87 K, Pc=59.54 bar (from Joback method)
[O]O[CH]O(42)       2     454.226     4.831     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=589.90 K, Pc=76.01 bar (from Joback method)
[O]CO[O](43)        2     454.226     4.831     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=589.90 K, Pc=76.01 bar (from Joback method)
[O]OC([O])O(44)     2     524.195     4.768     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=680.77 K, Pc=91.22 bar (from Joback method)
CH2O4(45)           2     446.844     4.902     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=580.32 K, Pc=71.58 bar (from Joback method)
CHO4(46)            2     446.844     4.902     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=580.32 K, Pc=71.58 bar (from Joback method)
C2H2O4(47)          2     463.733     5.228     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=602.25 K, Pc=61.23 bar (from Joback method)
C2H2O4(48)          2     515.378     5.080     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=669.32 K, Pc=74.19 bar (from Joback method)
C2H2O4(49)          2     440.339     5.187     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=571.87 K, Pc=59.54 bar (from Joback method)
[O]C[O](50)         2     436.691     4.721     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=567.13 K, Pc=78.31 bar (from Joback method)
C2H2O3(51)          2     422.861     5.072     0.000     0.000     0.000    ! Epsilon & sigma estimated with Tc=549.17 K, Pc=61.13 bar (from Joback method)
C2H2O3(52)          2     341.100     5.784     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
C2H2O3(53)          2     341.100     5.784     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
